ID,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
1,1136,12,939,9.9,115,185,180,54.5,4.75,50,186,12:06,520,28,7,18,74,77.25,209.2,64,9.9,32.4,95.5,18,1390,5027,19,1426,5185,0.82,0.74,17.9,12,48,138,130,12,8.6,24,5021,277,1.32,279,1.33,219
2,1017,12.7,72,0.9,112,185,174,52.5,3.99,49.9,189,8:00,400,60,2,18,70.5,72,176,50.6,8.6,28.6,97,23.3,1330,5156,23.8,1336,5229,0.72,0.78,15.6,18,46,113,121,10,8.5,21,3696,247,1.4,217,1.23,201
3,1171,13.4,971,11.1,132,192,175,36.7,4.94,56.5,193,11:00,520,30,1,18,74.75,75.5,192.3,56.6,9.1,32.6,105.5,20.8,1372,5103,22.8,1438,5413,0.62,1.07,21.6,30,53,105,105,5,3.9,18,3461,205,1.07,219,1.14,202
4,933,11.4,764,9.3,110,191,176,39.5,5.64,68.7,191,11:00,520,17,4,18,70.25,73.75,180.6,66.4,10.1,35.6,98,23,1357,5209,24,1385,5367,0.47,1.38,20.3,22,39,122,119,5,4.2,26,4696,239,1.32,234,1.3,196
5,1089,13.4,877,10.8,128,180,151,45.2,4.92,60.6,180,11:00,520,4,4,18,73.25,74.25,178.6,45.2,8,29,105,24,1370,5326,25.5,1397,5569,0.67,0.98,20.9,23,29,134,114,8,6.7,25,4465,242,1.35,229,1.28,194
6,1223,14.1,921,10.6,125,200,168,55.3,4.41,50.6,200,11:00,520,42,7,18,74,74,191.8,90.8,12.5,30.2,91,19,1308,4827,20,1344,4979,0.66,0.92,17.7,18,28,117,111,4,3.1,16,3069,200,1.04,233,1.21,186
7,1210,13,921,9.9,118,192,178,54.4,5.19,55.8,192,11:00,520,50,4,18,73.75,76,204.6,46.4,8.1,47.5,111,26.5,1650,6243,27,1665,6322,0.6,1.11,21.4,23,43,147,140,10,7.3,34,6956,294,1.44,323,1.58,230
8,917,12.8,718,10,118,194,172,45.8,4.17,57.9,194,9:00,440,8,2,17,73.75,77.5,158.4,43.8,7.9,28.3,102,23.3,1197,4794,24.3,1221,4946,0.7,0.86,17.6,45,40,92,94,0,0,29,4594,190,1.2,190,1.2,190
9,1047,13.9,782,10.4,121,179,172,57.4,4.39,58,189,7:00,480,42,1,17,71.75,73,166.3,45,8,32.8,106.5,21,1193,4604,23.5,1263,4994,0.29,2.24,20,36,23,109,99,7,6.3,28,4656,188,1.13,225,1.35,197
10,1191,14,899,10.5,123,192,181,49.3,5.45,63.8,196,8:00,520,42,1,18,74.25,74,188,47.8,8.3,29.6,102.5,23.5,1428,5442,25,1471,5673,0.71,0.85,17.5,35,28,141,134,6,4.8,25,4700,255,1.36,280,1.49,187
