ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
19,1,Forward,1402,15.67,963,10.76,124,188,168,57.5,4.77,53.25,188,9:07,440,60,6,18,72.25,75.5,197.3,59.8,9.44,29.9,107.5,23.75,1506,5669,24.75,1133,5826,0.68,0.98,21.2,18,37.8,127,112,6,4.56,25,4932.5,235,1.19,297,1.51,181
20,1,Forward, , , , , , , , , , , , , ,70,10,18,73.25,75.75,204.8,67.4,10.18,30.1, , , , , , , ,0.69,0.96,21.2,11, , , , , , , , , , , , 
21,1,Forward,1135,12.7,887,9.93,116,189,177,49.4,4.72,53.01,192,12:00,560,50,2,17,73,75.5,197,52.8,8.76,32.9,94,21.25,1414,5259,21.25,1414,5259,0.84,0.7,16.6,31,42.9,122,133,9,6.85,18,3546,279,1.42,281,1.43,215
22,1,Forward,1178,12.83,919,10.01,116,205,189,54.9,4.44,48.3,205,11:10,520,42,2,18,74.25,75.25,202.4,81.4,11.54,30.1,98,21,1452,5350,21,1452,5350,0.8,0.81,20.3,28,46.8,123,121,8,5.93,32,6476.8,296,1.46,277,1.37,206
23,1,Forward,1168,13.45,884,10.18,119,184,168,47.8,5.4,62.1,197,10:05,480,5,5,18,72.75,73.25,191.4,59.2,9.38,34.4,105.5,23,1439,5431,24.5,1483,5662,0.55,1.14,18.7,0,43.3,161,145,13,10.19,20,3828,260,1.36,249,1.3,223
24,1,Forward,1024,12.36,809,9.77,112,194,168,49.8,5.17,61.7,194,12:00,560,35,1,17,70,69,182.6,70,10.43,33.6,94,19.5,1265,4610,21,1310,4940,0.62,1.02,19.4,17,37.7,107,105,6,4.93,26,4747.6,255,1.4,252,1.38,185
25,1,Forward,978,12.58,751,9.66,112,197,181,50.4,4.89,62.8,201,10:37,480,35,5,17,70.5,72,171.4,84.8,11.87,33.9,98,19.5,1176,4479,21.5,1247,4788,0.47,1.31,18.3,15,42.6,130,120,5,4.38,17,2913.8,154,0.9,208,1.21,184
26,1,Forward,784,9.12,645,7.5,113,185,158,39.4,5.61,65.12,187,12:00,560,35,2,18,73.5,76,189.6,40.2,7.54,33.2,111,26.6,1529,5935,27.5,1556,6093,0.77,0.89,23,35,49,141,143,8,6.33,30,5688,230,1.21,222,1.17,216
27,1,Forward,1034,11.99,829,9.61,117,187,152,41.94,4.34,50.3,187,9:17,440,60,5,18,75.75,76.5,190.1,71,10.53,29.9,98,20,1333,4943,21,1364,5094,0.83,0.77,19.4,25,28.1,113,121,4,3.16,18,3421.8,260,1.37,194,1.02,204
28,1,Forward,1299,14.07,994,10.77,124,184,164,51.4,5.19,56.1,189,11:30,520,42,1,18,72.5,75.75,203.5,44.6,7.97,33.3,106.5,24.5,1577,5899,26.5,1637,6202,0.7,0.95,21.5,11,41.2,142,142,11,8.11,33,6715.5,268,1.32,269,1.32,203
